## test (positive) : [u'srootkit', u'srootkit0', u'srootkit1', u'srootkit2']
## test (negative) : [u'normal']
## test pos:neg = 2262:336
## train_pos:train_neg = 7464:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0721406   0.211589              0.977603       0.978245                  19.3078       
2           0.0081314   0.180674              1              0.973029                  23.5973       
3           0.00460188  0.177262              1              0.957429                  27.6388       
4           0.00304883  0.140458              1              0.973421                  31.7384       
5           0.00224592  0.140503              1              0.96822                   35.7146       
6           0.00169621  0.139541              1              0.96502                   39.9208       
7           0.00135436  0.138738              1              0.96302                   43.8719       
8           0.00109516  0.126489              1              0.96782                   47.929        
9           0.000906559  0.124929              1              0.96662                   52.0559       
10          0.000766682  0.128268              1              0.96262                   56.1812       
11          0.00065309  0.115746              1              0.97022                   60.4089       
12          0.000560187  0.112941              1              0.970612                  64.7228       
13          0.000486782  0.115656              1              0.96822                   68.8525       
14          0.000426451  0.105864              1              0.971812                  73.0368       
15          0.000375078  0.117151              1              0.964612                  76.9746       
16          0.000332008  0.10826               1              0.970612                  81.0715       
17          0.000296519  0.106815              1              0.971012                  85.1483       
18          0.000263581  0.0995009             1              0.973412                  89.3232       
19          0.000237336  0.110548              1              0.967012                  93.3367       
20          0.00021341  0.109008              1              0.967812                  97.4463       

## test (positive) : [u'diam', u'diam1']
## test (negative) : [u'normal']
## test pos:neg = 1083:336
## train_pos:train_neg = 8603:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0716942   0.0671807             0.976306       0.974637                  17.5584       
2           0.00846001  0.0653104             1              0.971501                  21.4703       
3           0.00489388  0.0688236             1              0.968366                  25.2455       
4           0.00342615  0.0734413             1              0.966441                  29.0346       
5           0.00256797  0.0751014             1              0.966441                  33.144        
6           0.00207102  0.080473              1              0.966441                  37.0517       
7           0.00171065  0.0823199             1              0.966441                  40.9678       
8           0.00145433  0.0868453             1              0.966441                  44.9087       
9           0.00125907  0.0895034             1              0.966441                  48.9431       
10          0.00110105  0.094039              1              0.966441                  52.8347       
11          0.000984984  0.094416              1              0.966441                  56.5618       
12          0.000881886  0.0980674             1              0.966441                  60.2756       
13          0.000809408  0.10145               1              0.965726                  64.2338       
14          0.000733432  0.105157              1              0.964516                  67.9311       
15          0.000682761  0.108321              1              0.963305                  72.032        
16          0.000628703  0.109982              1              0.964516                  76.0481       
17          0.000585433  0.111876              1              0.964516                  79.9124       
18          0.000548566  0.115105              1              0.964516                  83.8042       
19          0.000514073  0.117562              1              0.964516                  87.589        
20          0.000486471  0.12096               1              0.963305                  91.4523       

## test (positive) : [u'kbeast', u'kbeast0', u'kbeast1', u'kbeast2']
## test (negative) : [u'normal']
## test pos:neg = 2195:336
## train_pos:train_neg = 7531:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0634821   0.474607              0.982192       0.863484                  17.1984       
2           0.00825524  0.430556              1              0.869703                  21.2052       
3           0.00489679  0.456091              1              0.840103                  24.8696       
4           0.00345137  0.535711              1              0.772903                  28.4955       
5           0.00262107  0.525649              1              0.777213                  32.247        
6           0.00212279  0.553355              1              0.763613                  35.7814       
7           0.00170918  0.53289               1              0.773923                  39.4428       
8           0.00147724  0.577641              1              0.758323                  42.9902       
9           0.00127315  0.57898               1              0.758323                  46.4153       
10          0.00112908  0.643313              1              0.744323                  49.9528       
11          0.00100756  0.620389              1              0.747923                  53.3533       
12          0.000904066  0.641351              1              0.745923                  56.8529       
13          0.000818469  0.623313              1              0.748632                  60.4045       
14          0.000754305  0.639656              1              0.747032                  63.8951       
15          0.000694404  0.639007              1              0.748632                  67.3793       
16          0.000644407  0.669183              1              0.744632                  71.05         
17          0.000601679  0.696108              1              0.741832                  74.5882       
18          0.000566867  0.691453              1              0.742632                  78.383        
19          0.000530615  0.694289              1              0.743832                  81.9883       
20          0.000501011  0.708864              1              0.742232                  85.6353      

## test (positive) : [u'adore', u'adore0', u'adore1', u'adore2']
## test (negative) : [u'normal']
## test pos:neg = 2449:336
## train_pos:train_neg = 7277:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0800743   0.0290957             0.974514       0.991547                  17.7735       
2           0.00902776  0.0271683             1              0.988627                  22.4184       
3           0.00521319  0.0264052             1              0.988257                  26.6301       
4           0.00359816  0.0279181             1              0.987451                  30.2464       
5           0.00271841  0.0297117             1              0.987451                  34.0639       
6           0.00216355  0.0303207             1              0.987015                  37.7585       
7           0.00180458  0.0311615             1              0.987015                  41.4783       
8           0.00151641  0.0331968             1              0.987015                  45.3005       
9           0.00132266  0.0343099             1              0.987015                  49.3128       
10          0.00116882  0.0360245             1              0.987015                  53.1325       
11          0.00104587  0.0365818             1              0.987015                  56.8508       
12          0.000937059  0.0393146             1              0.986209                  60.5627       
13          0.000863004  0.0395423             1              0.986209                  64.3096       
14          0.000792262  0.0402996             1              0.986209                  67.9895       
15          0.000732592  0.0418936             1              0.986209                  71.7595       
16          0.000681995  0.042695              1              0.986209                  75.3663       
17          0.000638175  0.0438326             1              0.986209                  79.0608       
18          0.000598932  0.0448673             1              0.986209                  82.7696       
19          0.000607438  0.0458545             1              0.986209                  86.3626       
20          0.000491988  0.0471042             1              0.986209                  90.0702      

## test (positive) : [u'suterusu', u'suterusu0', u'suterusu2']
## test (negative) : [u'normal0']
## test pos:neg = 1653:557
