## test (positive) : [u'srootkit', u'srootkit0', u'srootkit1', u'srootkit2']
## test (negative) : [u'normal']
## test pos:neg = 2262:336
## train_pos:train_neg = 7464:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0261536   0.0932803             0.993219       0.988637                  23.1168       
2           0.00184518  0.0719896             0.999931       0.989845                  29.5258       
3           0.000846038  0.0727324             1              0.987037                  35.8319       
4           0.000823912  0.0921585             0.999793       0.985029                  42.137        
5           0.0004233   0.142664              1              0.969853                  48.4989       
6           0.000281504  0.0854836             1              0.989437                  54.8586       
7           0.000287828  0.076197              1              0.987445                  61.4456       
8           0.000142978  0.0823536             1              0.986645                  68.1994       
9           9.5997e-05  0.100857              1              0.987037                  75.0781       
10          9.21543e-05  0.124055              1              0.979012                  81.8734       
11          6.92746e-05  0.113812              1              0.983029                  88.6831       
12          5.86222e-05  0.104977              1              0.984629                  95.5097       
13          5.5024e-05  0.0993193             1              0.983012                  102.342       
14          4.37364e-05  0.100479              1              0.983804                  109.204       
15          4.19734e-05  0.133013              1              0.978188                  116.019       
16          3.64443e-05  0.170367              1              0.955673                  122.955       
17          4.29861e-05  0.151226              1              0.968131                  129.776       
18          2.68276e-05  0.128101              1              0.977788                  136.783       
19          2.59182e-05  0.117497              1              0.982604                  143.559       
20          2.62348e-05  0.11384               1              0.98138                   150.49        

## test (positive) : [u'diam', u'diam1']
## test (negative) : [u'normal']
## test pos:neg = 1083:336
## train_pos:train_neg = 8603:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0336918   0.136202              0.992229       0.965787                  23.5707       
2           0.00307543  0.254786              0.999936       0.953027                  30.1051       
3           0.001528    0.261783              0.999745       0.951659                  36.6531       
4           0.0010595   0.276307              0.999872       0.942966                  43.2392       
5           0.000464683  0.273416              1              0.940448                  49.9438       
6           0.000378116  0.272911              1              0.956659                  56.5084       
7           0.000261708  0.266471              1              0.961937                  63.2647       
8           0.000221428  0.346254              1              0.94517                   70.0034       
9           0.000200696  0.285654              1              0.957869                  77.0679       
10          0.000160856  0.29914               1              0.947312                  84.3328       
11          0.000114817  0.30185               1              0.955448                  91.3689       
12          0.000105414  0.387678              1              0.920206                  98.5234       
13          9.29439e-05  0.390727              1              0.922567                  105.704       
14          8.06316e-05  0.320868              1              0.932191                  112.897       
15          6.78032e-05  0.288826              1              0.962869                  120.05        
16          4.88605e-05  0.368927              1              0.931199                  127.284       
17          5.93737e-05  0.295552              1              0.958087                  134.492       
18          4.67228e-05  0.299029              1              0.954952                  141.65        
19          4.7322e-05  0.426688              1              0.882506                  148.854       
20          5.20603e-05  0.305779              1              0.948462                  156.07    

## test (positive) : [u'kbeast', u'kbeast0', u'kbeast1', u'kbeast2']
## test (negative) : [u'normal']
## test pos:neg = 2195:336
## train_pos:train_neg = 7531:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0285045   0.269021              0.993082       0.877665                  24.9458       
2           0.00275875  0.222935              0.999863       0.942284                  31.7403       
3           0.00130433  0.315465              0.999931       0.851974                  38.4325       
4           0.000608647  0.24827               1              0.945394                  45.1288       
5           0.000372657  0.244177              1              0.945794                  51.8958       
6           0.000241599  0.252929              1              0.959703                  58.6577       
7           0.000292338  1.47461               0.999931       0.495574                  65.3236       
8           0.00248761  0.335676              0.999178       0.882374                  72.0306       
9           0.00117364  0.310164              0.999589       0.940193                  78.8162       
10          0.000170772  0.28888               1              0.942503                  85.7469       
11          0.000256295  0.365854              0.999931       0.928594                  92.4895       
12          0.000116755  0.354712              1              0.934594                  99.381        
13          0.000270128  0.323599              1              0.955084                  106.325       
14          9.20615e-05  0.349779              1              0.956594                  113.116       
15          6.82425e-05  0.299083              1              0.961394                  119.936       
16          4.8714e-05  0.296959              1              0.963794                  126.963       
17          0.000207769  0.230668              0.999931       0.964994                  133.851       
18          6.34183e-05  0.245578              1              0.943484                  140.693       
19          4.06001e-05  0.24836               1              0.956284                  147.591       
20          3.34692e-05  0.275741              1              0.961794                  154.441          

## test (positive) : [u'adore', u'adore0', u'adore1', u'adore2']
## test (negative) : [u'normal']
## test pos:neg = 2449:336
## train_pos:train_neg = 7277:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0250427   0.046607              0.993681       0.990675                  24.173        
2           0.00288036  0.0663578             0.99965        0.987887                  30.6861       
3           0.000975587  0.0913273             1              0.981765                  37.0934       
4           0.000500554  0.0923334             1              0.986776                  43.5596       
5           0.000602475  0.0815149             0.99986        0.987146                  50.0722       
6           0.000285489  0.0895153             1              0.981525                  56.6029       
7           0.000774284  0.419636              0.99972        0.877473                  62.9624       
8           0.00306555  0.0407527             0.999021       0.99024                   69.302        
9           0.00129289  0.118607              0.99979        0.979368                  75.7147       
10          0.00026053  0.0664241             0.99993        0.986601                  82.1605       
11          0.000438661  0.0438759             0.99986        0.989935                  88.4969       
12          0.000117905  0.0753544             1              0.988758                  94.852        
13          0.000155789  0.0679044             0.99993        0.99024                   101.144       
14          9.76775e-05  0.0907416             1              0.989063                  107.433       
15          6.43146e-05  0.0947071             1              0.989063                  113.692       
16          5.17897e-05  0.0914128             1              0.989063                  120.031       
17          5.1745e-05  0.0784982             1              0.989063                  126.356       
18          4.63575e-05  0.132693              1              0.986405                  132.68        
19          4.24903e-05  0.115379              1              0.988693                  138.931       
20          2.69929e-05  0.110668              1              0.989063                  145.211 

## test (positive) : [u'suterusu', u'suterusu0', u'suterusu2']
## test (negative) : [u'normal0']
## test pos:neg = 1653:557
## train_pos:train_neg = 8053:7040
epoch       main/loss   validation/main/loss  main/accuracy  validation/main/accuracy  elapsed_time
1           0.0236777   0.470989              0.994238       0.868182                  23.8359       
2           0.00226192  0.422424              0.999867       0.868636                  30.322        
3           0.00106906  0.303296              0.999934       0.874545                  36.6939       
4           0.000779638  0.573115              1              0.868182                  43.0897       
5           0.000591154  0.61458               0.999934       0.868636                  49.5659       
6           0.00029219  0.682278              1              0.868636                  56.0226       
7           0.000203948  0.530298              1              0.87                      62.4894       
8           0.000147605  0.606888              1              0.869546                  69.0221       
9           0.000132402  0.538015              1              0.870455                  75.4611       
10          0.000110067  0.598824              1              0.87                      82.0243       
11          0.000178685  0.549398              1              0.870455                  88.4676       
12          9.03778e-05  0.547317              1              0.87                      94.8749       
13          7.59957e-05  0.831119              1              0.868636                  101.416       
14          5.34219e-05  0.95398               1              0.868182                  107.866       
15          4.28674e-05  0.843704              1              0.868636                  114.334       
16          7.80306e-05  0.823973              1              0.869091                  120.846       
17          7.29891e-05  0.881194              1              0.869546                  127.407       
18          0.00155926  0.980773              0.999669       0.868182                  133.997       
19          0.0057106   0.270932              0.998742       0.893636                  140.626       
20          0.000255926  0.411994              1              0.876818                  147.119      
